"","price","lotSize","age","landValue","livingArea","pctCollege","bedrooms","fireplaces","bathrooms","rooms","heating","fuel","sewer","waterfront","newConstruction","centralAir","hasfireplace"
"8",170000,1.21,23,14600,1662,35,4,1,1.5,9,"hot air","oil","septic","No","No","No",1
"26",248800,4,28,5500,2224,39,4,0,3,10,"hot air","oil","septic","No","No","No",0
"29",457000,0.43,53,2700,2461,39,4,1,2,10,"hot air","oil","public/commercial","Yes","No","No",1
"40",245900,0.19,0,20700,2394,71,4,1,2.5,7,"hot air","gas","none","No","No","Yes",1
"63",82800,0.11,225,3900,1483,52,3,0,1,7,"hot air","gas","public/commercial","No","No","No",0
"95",147000,0.11,15,18900,1676,51,3,1,2.5,6,"hot air","gas","septic","No","No","No",1
"106",225000,2.37,8,3300,1784,44,3,1,2,6,"hot water/steam","oil","septic","No","No","No",1
"111",112500,0.72,43,4600,1232,44,3,1,1,5,"electric","electric","septic","No","No","No",1
"152",139000,0.14,16,19600,1343,64,2,1,1.5,6,"electric","electric","public/commercial","No","No","Yes",1
"154",120000,0.21,15,28800,1180,64,2,1,1.5,3,"hot air","gas","public/commercial","No","No","Yes",1
"169",115000,0.16,15,22400,1058,64,2,1,1.5,7,"hot air","gas","public/commercial","No","No","No",1
"174",139900,0.29,15,35200,1256,64,2,0,1.5,7,"hot air","gas","public/commercial","No","No","Yes",0
"186",175000,0.26,16,30100,1596,64,3,1,2,6,"hot air","gas","public/commercial","No","No","Yes",1
"201",362360,0.59,0,153800,3020,64,4,1,2.5,9,"hot air","gas","public/commercial","No","Yes","Yes",1
"217",102900,0.15,17,15700,912,52,2,0,1.5,3,"electric","gas","public/commercial","No","No","No",0
"220",165000,0.42,10,26200,1433,64,3,1,2,5,"hot air","gas","septic","No","No","Yes",1
"222",177500,0.32,16,27000,1561,52,4,1,1.5,9,"hot air","gas","public/commercial","No","No","Yes",1
"261",335000,3,10,53600,1776,52,2,0,2,6,"hot air","oil","public/commercial","No","No","Yes",0
"266",150500,0.31,16,27000,1527,52,2,1,2,7,"electric","electric","public/commercial","No","No","No",1
"300",191500,0.88,33,35900,2576,64,4,1,2.5,10,"hot water/steam","gas","public/commercial","No","No","No",1
"310",154900,0.51,33,34600,1648,64,3,0,1.5,8,"hot air","gas","public/commercial","No","No","Yes",0
"313",106000,0.42,36,30900,1738,64,3,0,1.5,9,"hot air","gas","public/commercial","No","No","No",0
"319",197500,0.3,30,24500,1938,64,3,1,1.5,9,"hot air","gas","public/commercial","No","No","Yes",1
"323",275000,0.38,18,60800,2445,82,4,2,2.5,9,"hot air","gas","public/commercial","No","No","Yes",1
"354",239900,0.7,15,69400,2488,64,4,1,2.5,7,"electric","electric","public/commercial","No","No","Yes",1
"360",290000,0.51,7,39100,2362,64,4,1,2.5,8,"hot air","gas","public/commercial","No","No","No",1
"374",173000,0.21,11,19100,1064,64,2,1,2,4,"hot air","gas","public/commercial","No","No","No",1
